2024/12/25 14:11:12 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 29 main.init.0"],"level":"info","message":"debug: blog-service started","time":1735107072830434200}
2024/12/26 18:33:57 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"info","message":"debug: blog-service started","time":1735209237944394800}
2024/12/26 23:48:17 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"info","message":"debug: blog-service started","time":1735228097525638300}
2024/12/26 23:58:04 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"info","message":"debug: blog-service started","time":1735228684082634100}
2024/12/27 12:04:43 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"info","message":"debug: blog-service started","time":1735272283757723700}
2024/12/27 20:53:21 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"info","message":"debug: blog-service started","time":1735304001675995700}
2024/12/27 20:58:49 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"info","message":"debug: blog-service started","time":1735304329576040400}
2024/12/27 21:01:42 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"info","message":"debug: blog-service started","time":1735304502512081100}
2024/12/27 21:12:07 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1735305127595754900}
2024/12/27 21:42:13 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1735306933693233500}
2024/12/27 21:42:26 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1735306946800775500}
2024/12/27 21:42:30 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1735306950307260500}
2024/12/30 17:30:38 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"info","message":"debug: blog-service started","time":1735551038472745300}
2024/12/30 17:44:31 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CreateTag err: Error 1054 (42S22): Unknown column 'created_by' in 'field list'","time":1735551871565675700}
2024/12/30 17:51:53 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CountTag err: Error 1054 (42S22): Unknown column 'is_del' in 'where clause'","time":1735552313000528300}
2024/12/30 17:55:49 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CreateTag err: Error 1054 (42S22): Unknown column 'created_by' in 'field list'","time":1735552549749291300}
2024/12/30 17:56:41 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CreateTag err: Error 1054 (42S22): Unknown column 'created_by' in 'field list'","time":1735552601223486100}
2024/12/30 17:58:07 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CountTag err: Error 1054 (42S22): Unknown column 'is_del' in 'where clause'","time":1735552687662405100}
2024/12/30 18:05:35 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CreateTag err: Error 1054 (42S22): Unknown column 'created_by' in 'field list'","time":1735553135177414300}
2024/12/30 18:05:46 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CreateTag err: Error 1054 (42S22): Unknown column 'created_by' in 'field list'","time":1735553146145187100}
2024/12/30 18:05:53 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CreateTag err: Error 1054 (42S22): Unknown column 'created_by' in 'field list'","time":1735553153466394300}
2024/12/30 18:09:08 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CountTag err: Error 1054 (42S22): Unknown column 'is_del' in 'where clause'","time":1735553348555007400}
2024/12/30 18:11:44 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CreateTag err: Error 1054 (42S22): Unknown column 'created_by' in 'field list'","time":1735553504579395000}
2024/12/30 18:11:49 {"callers":["C:/Users/comed/GolandProjects/awesomeProject/blog-service/main.go: 31 main.init.0"],"context":null,"level":"error","message":"svc.CreateTag err: Error 1054 (42S22): Unknown column 'created_by' in 'field list'","time":1735553509845057400}
